UserId,MovieId,prediction,title,genres
943,483,4.4788404,Casablanca (1942),Drama|Romance|War
943,169,4.464947,"Wrong Trousers, The (1993)",Animation|Comedy
943,408,4.4176593,"Close Shave, A (1995)",Animation|Comedy|Thriller
943,134,4.3738117,Citizen Kane (1941),Drama
943,114,4.345226,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
943,479,4.2974524,Vertigo (1958),Mystery|Thriller
943,480,4.256416,North by Northwest (1959),Comedy|Thriller
943,272,4.250051,Good Will Hunting (1997),Drama
943,603,4.2178707,Rear Window (1954),Mystery|Thriller
943,651,4.2035494,Glory (1989),Action|Drama|War
942,483,4.9606404,Casablanca (1942),Drama|Romance|War
942,169,4.9510455,"Wrong Trousers, The (1993)",Animation|Comedy
942,603,4.9363317,Rear Window (1954),Mystery|Thriller
942,199,4.9044833,"Bridge on the River Kwai, The (1957)",Drama|War
942,408,4.899936,"Close Shave, A (1995)",Animation|Comedy|Thriller
942,134,4.882294,Citizen Kane (1941),Drama
942,22,4.8568063,Braveheart (1995),Action|Drama|War
942,318,4.843826,Schindler's List (1993),Drama|War
942,98,4.829553,"Silence of the Lambs, The (1991)",Drama|Thriller
942,127,4.816751,"Godfather, The (1972)",Action|Crime|Drama
941,318,4.911155,Schindler's List (1993),Drama|War
941,480,4.8040247,North by Northwest (1959),Comedy|Thriller
941,427,4.7986217,To Kill a Mockingbird (1962),Drama
941,603,4.7979665,Rear Window (1954),Mystery|Thriller
941,483,4.7850103,Casablanca (1942),Drama|Romance|War
941,272,4.781688,Good Will Hunting (1997),Drama
941,513,4.7653346,"Third Man, The (1949)",Mystery|Thriller
941,498,4.7621408,"African Queen, The (1951)",Action|Adventure|Romance|War
941,169,4.749491,"Wrong Trousers, The (1993)",Animation|Comedy
941,50,4.7029176,Star Wars (1977),Action|Adventure|Romance|Sci-Fi|War
940,318,4.3237867,Schindler's List (1993),Drama|War
940,408,4.176395,"Close Shave, A (1995)",Animation|Comedy|Thriller
940,114,4.1497984,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
940,169,4.139824,"Wrong Trousers, The (1993)",Animation|Comedy
940,480,4.0950384,North by Northwest (1959),Comedy|Thriller
940,603,4.093064,Rear Window (1954),Mystery|Thriller
940,178,4.090822,12 Angry Men (1957),Drama
940,89,4.070081,Blade Runner (1982),Film-Noir|Sci-Fi
940,483,4.051924,Casablanca (1942),Drama|Romance|War
940,134,4.041664,Citizen Kane (1941),Drama
939,64,5.505381,"Shawshank Redemption, The (1994)",Drama
939,318,5.2644954,Schindler's List (1993),Drama|War
939,480,5.221905,North by Northwest (1959),Comedy|Thriller
939,357,5.215377,One Flew Over the Cuckoo's Nest (1975),Drama
939,174,5.2126875,Raiders of the Lost Ark (1981),Action|Adventure
939,50,5.144312,Star Wars (1977),Action|Adventure|Romance|Sci-Fi|War
939,178,5.14115,12 Angry Men (1957),Drama
939,483,5.1397676,Casablanca (1942),Drama|Romance|War
939,408,5.1182165,"Close Shave, A (1995)",Animation|Comedy|Thriller
939,269,5.108611,"Full Monty, The (1997)",Comedy
938,483,4.3948,Casablanca (1942),Drama|Romance|War
938,515,4.3920403,"Boot, Das (1981)",Action|Drama|War
938,169,4.3865147,"Wrong Trousers, The (1993)",Animation|Comedy
938,272,4.3716173,Good Will Hunting (1997),Drama
938,178,4.3714194,12 Angry Men (1957),Drama
938,318,4.3633556,Schindler's List (1993),Drama|War
938,64,4.356673,"Shawshank Redemption, The (1994)",Drama
938,134,4.3187485,Citizen Kane (1941),Drama
938,408,4.26923,"Close Shave, A (1995)",Animation|Comedy|Thriller
938,513,4.251004,"Third Man, The (1949)",Mystery|Thriller
937,483,4.3342094,Casablanca (1942),Drama|Romance|War
937,64,4.2428436,"Shawshank Redemption, The (1994)",Drama
937,513,4.185758,"Third Man, The (1949)",Mystery|Thriller
937,169,4.167179,"Wrong Trousers, The (1993)",Animation|Comedy
937,603,4.162496,Rear Window (1954),Mystery|Thriller
937,318,4.1403484,Schindler's List (1993),Drama|War
937,12,4.138506,"Usual Suspects, The (1995)",Crime|Thriller
937,127,4.1327615,"Godfather, The (1972)",Action|Crime|Drama
937,480,4.105866,North by Northwest (1959),Comedy|Thriller
937,313,4.1039386,Titanic (1997),Action|Drama|Romance
936,318,4.788305,Schindler's List (1993),Drama|War
936,408,4.76805,"Close Shave, A (1995)",Animation|Comedy|Thriller
936,603,4.7231455,Rear Window (1954),Mystery|Thriller
936,483,4.720793,Casablanca (1942),Drama|Romance|War
936,479,4.7065973,Vertigo (1958),Mystery|Thriller
936,169,4.6952806,"Wrong Trousers, The (1993)",Animation|Comedy
936,513,4.6650033,"Third Man, The (1949)",Mystery|Thriller
936,100,4.658494,Fargo (1996),Crime|Drama|Thriller
936,657,4.6142154,"Manchurian Candidate, The (1962)",Film-Noir|Thriller
936,12,4.611205,"Usual Suspects, The (1995)",Crime|Thriller
935,318,4.9232216,Schindler's List (1993),Drama|War
935,408,4.8748875,"Close Shave, A (1995)",Animation|Comedy|Thriller
935,483,4.8545074,Casablanca (1942),Drama|Romance|War
935,480,4.810189,North by Northwest (1959),Comedy|Thriller
935,603,4.8024793,Rear Window (1954),Mystery|Thriller
935,50,4.7709723,Star Wars (1977),Action|Adventure|Romance|Sci-Fi|War
935,98,4.7614737,"Silence of the Lambs, The (1991)",Drama|Thriller
935,191,4.7565956,Amadeus (1984),Drama|Mystery
935,64,4.7468543,"Shawshank Redemption, The (1994)",Drama
935,114,4.740832,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
934,169,4.5654716,"Wrong Trousers, The (1993)",Animation|Comedy
934,408,4.5094414,"Close Shave, A (1995)",Animation|Comedy|Thriller
934,285,4.470285,Secrets & Lies (1996),Drama
934,496,4.363102,It's a Wonderful Life (1946),Drama
934,272,4.355596,Good Will Hunting (1997),Drama
934,603,4.3527446,Rear Window (1954),Mystery|Thriller
934,174,4.3346586,Raiders of the Lost Ark (1981),Action|Adventure
934,64,4.305195,"Shawshank Redemption, The (1994)",Drama
934,511,4.2960734,Lawrence of Arabia (1962),Adventure|War
934,513,4.2817163,"Third Man, The (1949)",Mystery|Thriller
933,408,3.6275253,"Close Shave, A (1995)",Animation|Comedy|Thriller
933,178,3.6264994,12 Angry Men (1957),Drama
933,169,3.5376298,"Wrong Trousers, The (1993)",Animation|Comedy
933,603,3.5256815,Rear Window (1954),Mystery|Thriller
933,272,3.522203,Good Will Hunting (1997),Drama
933,50,3.5158398,Star Wars (1977),Action|Adventure|Romance|Sci-Fi|War
933,114,3.4919112,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
933,515,3.4764633,"Boot, Das (1981)",Action|Drama|War
933,127,3.457437,"Godfather, The (1972)",Action|Crime|Drama
933,165,3.4443405,Jean de Florette (1986),Drama
932,12,4.798262,"Usual Suspects, The (1995)",Crime|Thriller
932,408,4.742214,"Close Shave, A (1995)",Animation|Comedy|Thriller
932,318,4.689249,Schindler's List (1993),Drama|War
932,127,4.630783,"Godfather, The (1972)",Action|Crime|Drama
932,169,4.6100698,"Wrong Trousers, The (1993)",Animation|Comedy
932,302,4.609203,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
932,313,4.5971193,Titanic (1997),Action|Drama|Romance
932,272,4.57986,Good Will Hunting (1997),Drama
932,89,4.570411,Blade Runner (1982),Film-Noir|Sci-Fi
932,132,4.545149,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical
931,169,4.6494026,"Wrong Trousers, The (1993)",Animation|Comedy
931,408,4.6151223,"Close Shave, A (1995)",Animation|Comedy|Thriller
931,114,4.596513,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
931,483,4.5925083,Casablanca (1942),Drama|Romance|War
931,285,4.532481,Secrets & Lies (1996),Drama
931,199,4.505876,"Bridge on the River Kwai, The (1957)",Drama|War
931,480,4.5017476,North by Northwest (1959),Comedy|Thriller
931,318,4.499344,Schindler's List (1993),Drama|War
931,134,4.494922,Citizen Kane (1941),Drama
931,657,4.4948025,"Manchurian Candidate, The (1962)",Film-Noir|Thriller
930,318,3.878336,Schindler's List (1993),Drama|War
930,12,3.8570142,"Usual Suspects, The (1995)",Crime|Thriller
930,169,3.8154538,"Wrong Trousers, The (1993)",Animation|Comedy
930,98,3.811629,"Silence of the Lambs, The (1991)",Drama|Thriller
930,134,3.7948925,Citizen Kane (1941),Drama
930,357,3.7866597,One Flew Over the Cuckoo's Nest (1975),Drama
930,114,3.7765615,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
930,408,3.7487679,"Close Shave, A (1995)",Animation|Comedy|Thriller
930,474,3.714286,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
930,493,3.7088048,"Thin Man, The (1934)",Mystery
929,169,4.254985,"Wrong Trousers, The (1993)",Animation|Comedy
929,50,4.2242804,Star Wars (1977),Action|Adventure|Romance|Sci-Fi|War
929,64,4.1780024,"Shawshank Redemption, The (1994)",Drama
929,603,4.176227,Rear Window (1954),Mystery|Thriller
929,408,4.1438165,"Close Shave, A (1995)",Animation|Comedy|Thriller
929,172,4.0880847,"Empire Strikes Back, The (1980)",Action|Adventure|Drama|Romance|Sci-Fi|War
929,493,4.0629177,"Thin Man, The (1934)",Mystery
929,185,4.0353265,Psycho (1960),Horror|Romance|Thriller
929,963,4.022076,Some Folks Call It a Sling Blade (1993),Drama|Thriller
929,302,4.010873,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
928,603,5.2513766,Rear Window (1954),Mystery|Thriller
928,12,5.202009,"Usual Suspects, The (1995)",Crime|Thriller
928,483,5.167859,Casablanca (1942),Drama|Romance|War
928,474,5.1568975,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
928,318,5.0941873,Schindler's List (1993),Drama|War
928,408,5.0793657,"Close Shave, A (1995)",Animation|Comedy|Thriller
928,169,5.023988,"Wrong Trousers, The (1993)",Animation|Comedy
928,64,5.017865,"Shawshank Redemption, The (1994)",Drama
928,515,4.99981,"Boot, Das (1981)",Action|Drama|War
928,480,4.998105,North by Northwest (1959),Comedy|Thriller
927,408,4.966823,"Close Shave, A (1995)",Animation|Comedy|Thriller
927,178,4.8007116,12 Angry Men (1957),Drama
927,483,4.7829585,Casablanca (1942),Drama|Romance|War
927,190,4.770239,Henry V (1989),Drama|War
927,318,4.7660236,Schindler's List (1993),Drama|War
927,302,4.756297,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
927,313,4.7265997,Titanic (1997),Action|Drama|Romance
927,272,4.7208734,Good Will Hunting (1997),Drama
927,480,4.715107,North by Northwest (1959),Comedy|Thriller
927,357,4.7000327,One Flew Over the Cuckoo's Nest (1975),Drama
926,318,4.3765335,Schindler's List (1993),Drama|War
926,408,4.2494364,"Close Shave, A (1995)",Animation|Comedy|Thriller
926,483,4.2221785,Casablanca (1942),Drama|Romance|War
926,169,4.21696,"Wrong Trousers, The (1993)",Animation|Comedy
926,480,4.1051283,North by Northwest (1959),Comedy|Thriller
926,484,4.0893593,"Maltese Falcon, The (1941)",Film-Noir|Mystery
926,98,4.076049,"Silence of the Lambs, The (1991)",Drama|Thriller
926,134,4.065636,Citizen Kane (1941),Drama
926,1449,4.040876,Pather Panchali (1955),Drama
926,114,4.03364,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
925,318,4.410955,Schindler's List (1993),Drama|War
925,408,4.368038,"Close Shave, A (1995)",Animation|Comedy|Thriller
925,64,4.331236,"Shawshank Redemption, The (1994)",Drama
925,480,4.2949824,North by Northwest (1959),Comedy|Thriller
925,12,4.1985016,"Usual Suspects, The (1995)",Crime|Thriller
